PosScore,NegScore,SynsetTermsSplitted,বঙ্গানুবাদ
0,0,au,অ
0,0,non pros,অ অনুকূল
0,0,abc,অ আ ক খ
0,0,non-issue,অ ইস্যু
0,0,non-jew,অ ইহুদি
0,0,non-catholic,অ ক্যাথলিক
0,0,non-slave,অ ক্রীতদাস
0.25,0.25,non-water-soluble,অ জল-দ্রবণীয়
0,0.75,non-living,অ জীবন যাপন
0,0.625,non-u,অ তোমার দর্শন লগ করা
0,0,nonsmoker,অ ধূমপায়ী
0,0.5,non-elective,অ নির্বাচক
0,0.5,non-paying,অ পরিশোধ
0,0,non compos mentis,অ প্রকৃতিস্থ
0,0,non-buoyant,অ প্রফুল্ল
0,0.5,non-engagement,অ প্রবৃত্তি
0,0.5,nonalignment,অ প্রান্তিককরণ
0,0.125,nonjudgmental,অ বিচার
0.5,0,non-negotiable,অ বিনিমেয়
0,0.625,non-invertible,অ বিপরীত
0,0.125,nonbeliever,অ বিশ্বাসী
0,0.625,nontoxic,অ বিষাক্ত
0,0.5,non-miscible,অ মিশ্রণীয়
0,0.5,non-metric,অ মেট্রিক
0,0,non-verbally,অ মৌখিকভাবে
0,0.625,non-involvement,অ সম্পৃক্ততা
0,0,non-white,অ সাদা
0,0.125,non-aromatic,অ সুগন্ধি
0,0,non-automatic,অ স্বয়ংক্রিয়
0,0,mathematics,অংক
0,0,part,অংশ
0,0,pars anterior,অংশ অগ্র
0,0,portion out,অংশ আউট
0,0,take part,অংশ নাও
0,0,pars nervosa,অংশ নার্ভাস
0,0,part-owner,অংশ মালিক
0,0,part music,অংশ সঙ্গীত
0,0,mantissa,অংশক
0,0,participate,অংশগ্রহণ
0,0,participation loan,অংশগ্রহণ ঋণ
0.25,0,partake,অংশগ্রহণ করা
0,0,participating,অংশগ্রহণকারী
0,0,participant role,অংশগ্রহণকারী ভূমিকা
0,0,attendee,অংশগ্রহণকারীদের
0.125,0,participatory,অংশগ্রহণমূলক
0,0,participant,অংশগ্রাহক
0,0,contributor,অংশদাতা
0,0,apportionment,অংশন
0,0,share-out,অংশভাগ করা
0,0,tear away,অংশসমূহ বিছিন্ন করা
0,0,bhadon,অংশাদারিত্ব
0,0,copartner,অংশীদার
0.125,0,partner relation,অংশীদার সম্পর্ক
0,0,partnership,অংশীদারিত্ব
0,0,cahoot,অংশীদারী প্রতিষ্ঠান
0,0,radiate,অংশুশিরা
0,0,apportion,অংশে অংশে ভাগ করা
0,0,parts catalog,অংশের ক্যাটালগ
0,0,parts bin,অংশের বিন
0,0,shoulder,অংস
0,0,scapula,অংসফলক
0,0,scapular,অংসফলকগত
0,0,skinless,অকঁচুক
0,0.5,hairless,অকচ
0,0.75,unleaded,অকটেন
0,0.75,unleaded gasoline,অকটেন গ্যাসোলিন
0,0.75,unleaded petrol,অকটেন পেট্রোল
0,0,octal,অকট্যাল
0,0,octal digit,অকট্যাল অঙ্ক
0,0,octal number system,অকট্যাল সংখ্যাকে সিস্টেম
0,0,octal numeration system,অকট্যাল সংখ্যাপাতকরণ সিস্টেম
0,0,octal notation,অকট্যাল স্বরলিপি
0.25,0.375,unsaid,অকথিত
0.375,0.125,unspoken accusation,অকথিত অভিযোগ
0,0.125,aboveboard,অকপট
0,0,candid camera,অকপট ক্যামেরা
0,0,expansive bit,অকপট বিট
0.375,0,candor,অকপটতা
0.625,0,sincerely,অকপটভাবে
0,0.125,candidly,অকপটে
0,0.25,unbosom,অকপটে ব্যক্ত করা
0,0,okra,অকরা
0,0,okra plant,অকরা উদ্ভিদ
0.125,0.875,unpitying,অকরুণ
0,0.75,unrelenting,অকরূণ
0,0.625,uncropped,অকর্তিত
0,0.5,intransitive,অকর্মক
0,0.5,intransitive verb,অকর্মক ক্রিয়া
0,0.625,unserviceable,অকর্মণ্য
0,0,scallywag,অকর্মণ্য ব্যক্তি
0.25,0.25,bummer,অকর্মা
