PosScore,NegScore,SynsetTermsSplitted,বঙ্গানুবাদ
0.0,0.0,au,অ
0.0,0.0,abc,অ আ ক খ
0.0,0.0,attendee,অংশগ্রহণকারীদের
0.0,0.0,contributor,অংশদাতা
0.0,0.0,apportionment,অংশন
0.0,0.0,bhadon,অংশাদারিত্ব
0.0,0.0,copartner,অংশীদার
0.0,0.0,cahoot,অংশীদারী প্রতিষ্ঠান
0.0,0.0,filament,অংশু
0.0,0.25,fibrous,অংশুল
0.0,0.0,apportion,অংশে অংশে ভাগ করা
0.0,0.5,hairless,অকচ
0.0,0.0,filthy,অকথ্য
0.0,0.125,aboveboard,অকপট
0.0,0.0,candid_camera,অকপট ক্যামেরা
0.375,0.0,candor,অকপটতা
0.0,0.0,free-spoken,অকপটবক্তা
0.0,0.125,candidly,অকপটে
0.0,0.5,intransitive,অকর্মক
0.0,0.5,intransitive_verb,অকর্মক ক্রিয়া
0.25,0.0,duffer,অকর্মণ্য লোক
0.25,0.25,bummer,অকর্মা
0.0,0.125,anecdotal,অকল্পনীয়
0.0,0.0,auckland,অকল্যান্ড
0.0,0.0,blaze_up,অকস্মাৎ জ্বলিয়া ত্তঠা
0.0,0.75,fulminant,অকস্মাৎ বর্ধনশীল
0.125,0.0,cogent,অকাট্য
0.125,0.0,cogency,অকাট্যতা
0.125,0.0,bountifully,অকাতরে
0.25,0.0,aimlessly,অকারণে
0.5,0.125,bungle,অকার্য
0.0,0.625,impractical,অকার্যকর
0.0,0.0,invalidated,অকার্যকর ও বাতিল
0.0,0.0,drop_dead,অকালমৃত্যু
0.0,0.625,inopportunely,অকালে
0.625,0.0,humdrum,অকাল্পনিক
0.0,0.0,agate,অকীক
0.0,0.0,dreadnought,অকুতোভয় ব্যক্তি
0.0,0.0,hybrid,অকুলীন
0.0,0.25,indisposition,অকুশল
0.0,0.75,intestate,অকৃত উইলকারী
0.5,0.375,ill-starred,অকৃতকার্য
0.0,0.0,fizzle,অকৃতকার্যতা
0.25,0.0,ingrate,অকৃতজ্ঞ
0.0,0.0,ingratitude,অকৃতজ্ঞতা
0.364,0.636,genuine,অকৃত্রিম
0.25,0.375,genuineness,অকৃত্রিমতা
0.0,0.5,inutile,অকেজো
0.0,0.125,inoperative,অক্রিয়
0.0,0.0,indefatigable,অক্লান্ত
0.0,0.0,axis,অক্ষ
0.0,0.0,intact,অক্ষত
0.0,0.5,disable,অক্ষম
0.0,0.0,disqualify,অক্ষম করা
0.0,0.0,disability,অক্ষমতা
0.0,0.0,disability_insurance,অক্ষমতা বীমা
0.0,0.375,intolerance,অক্ষমা
0.25,0.75,incorruptible,অক্ষয়
0.25,0.75,incorruptibility,অক্ষয়তা
0.25,0.75,incorruption,অক্ষয়তার
0.0,0.25,apostrophe,অক্ষর বাদ দেত্তয়ার চিহ্ন
0.0,0.25,character_reference,অক্ষর রেফারেন্স
0.0,0.0,character_set,অক্ষর সেট
0.125,0.0,cast_of_characters,অক্ষরের নিক্ষেপ
0.125,0.0,eye_socket,অক্ষিকোটর
0.125,0.0,eyeball,অক্ষিগোলক
0.0,0.0,cilium,অক্ষিপক্ষ্ম
0.0,0.0,aqueous_humor,অক্ষিস্নেহ
0.0,0.0,axial,অক্ষীয়
0.0,0.0,axial_skeleton,অক্ষীয় কঙ্কাল
0.0,0.75,anoxia,অক্সিজেনের অভাব
0.0,0.0,curdled,অখণ্ড
0.875,0.125,integrity,অখণ্ডতা
0.0,0.75,indefeasible,অখণ্ডনীয়
0.125,0.125,inedible,অখাদ্য
0.375,0.125,disoblige,অখুশি করা
0.125,0.25,discredit,অখ্যাতি
0.0,0.0,countless,অগণিত
0.0,0.625,incomputable,অগণ্য
0.0,0.0,externality,অগভীরতা
0.375,0.5,impregnability,অগম্যতা
0.0,0.0,adulterer,অগম্যাগামী
0.0,0.0,high_fidelity,অগাধ বিশ্বস্ততা
0.0,0.0,august,অগাস্ট
0.0,0.0,augustus,অগাস্টাস
0.0,0.0,augustinian,অগাস্টিনিয়ান
0.0,0.5,carelessly,অগোছালভাবে
0.25,0.375,disorderly,অগোছালো
0.25,0.375,disorderly_conduct,অগোছালো আচরণের
0.0,0.0,agni,অগ্নি
0.0,0.125,fire-bush,অগ্নি গুল্ম
0.0,0.0,fire-wheel,অগ্নি চাকা
0.0,0.0,fire_extinguisher,অগ্নি নির্বাপক
0.0,0.0,fire_station,অগ্নি নির্বাপন কেন্দ্র
0.0,0.875,fire-resistant,অগ্নি প্রতিরোধক
0.125,0.0,fire_insurance,অগ্নি বীমা
0.0,0.875,fire-resistive,অগ্নি রেজিস্টিভ
0.0,0.0,conflagration,অগ্নিকাণ্ড
0.0,0.0,firefighter,অগ্নিকাণ্ড-নির্বাপণকারী দমকলকর্মী
0.0,0.0,fire_pit,অগ্নিকুণ্ড
0.0,0.0,firebomb,অগ্নিগোলা
0.0,0.0,fire_escape,অগ্নিতারণ পথ
0.0,0.0,flammable,অগ্নিদাহ্য
0.0,0.0,fireman,অগ্নিনির্বাপক
0.0,0.0,fire_brigade,অগ্নিনির্বাপক দল
0.0,0.0,fire_marshal,অগ্নিনির্বাপক বিভাগের প্রধান বেক্তি
0.0,0.0,fire_drill,অগ্নিনির্বাপণ প্রশিক্ষণ
0.0,0.0,fire-worship,অগ্নি-পূজা
0.0,0.0,flamethrower,অগ্নি-বর্ষক
0.0,0.0,basalt,অগ্নিয়গিরিজাত শিলা
0.0,0.0,basaltic,অগ্নিয়গিরিজাত শিলাসংক্রান্ত
0.0,0.0,empyrean,অগ্নিলোক
0.0,0.0,furious,অগ্নিশর্মা
0.0,0.0,arson,অগ্নিসংযোগ
0.0,0.125,fiery,অগ্নিসদৃশ
0.0,0.0,firebrick,অগ্নিসহ ইষ্টক
0.0,0.0,fireclay,অগ্নিসহ মৃত্তিকা
0.0,0.0,glucagon,অগ্ন্যাশয় থেকে নিঃসৃত এক ধরনের রস
0.0,0.0,eruption,অগ্ন্যুত্পাত
0.0,0.0,bonfire,অগ্ন্যুত্সব
0.0,0.0,bonfire_night,অগ্ন্যুত্সব রাত
0.0,0.0,anterior,অগ্র
0.0,0.5,anteriority,অগ্রগণ্যতা
0.0,0.25,advancement,অগ্রগতি
0.0,0.0,elder,অগ্রজ
0.0,0.0,anticipation,অগ্রজ্ঞান
0.0,0.0,imprimatur,অগ্রদত্ত টাকা
0.0,0.0,forerunner,অগ্রদূত
0.0,0.0,forelimb,অগ্রপদ
0.125,0.0,comprehensively,অগ্রপশ্চাৎ
0.0,0.0,foregoing,অগ্রবর্তী
0.0,0.0,foresail,অগ্রবর্তী মাস্তুলের পাল
0.0,0.0,forego,অগ্রবর্তী হত্তয়া
0.0,0.0,foremast,অগ্রবর্তীমাস্তুল
0.0,0.0,foretop,অগ্রমাস্তুলের
0.0,0.25,advanced,অগ্রসর
0.0,0.0,apical,অগ্রস্থিত
0.125,0.75,inadmissibility,অগ্রহণীয়তা
0.0,0.75,inadmissible,অগ্রাহ্য
0.0,0.875,disapprove,অগ্রাহ্য করা
0.0,0.0,in_advance,অগ্রিম
0.0,0.0,cash_advance,অগ্রিম পরিশোধ
0.0,0.0,digit,অঙ্ক
0.0,0.0,drawing,অঙ্কন
0.0,0.0,drawing_table,অঙ্কন টেবিল
0.0,0.0,drawing_board,অঙ্কন বোর্ড
0.0,0.0,cardinal,অঙ্কবাচক
0.0,0.0,cardinal_number,অঙ্কবাচক সংখ্যা
0.0,0.0,delineated,অঙ্কিত
0.0,0.0,imprint,অঙ্কিত করা
0.0,0.0,hatching,অঙ্কিত রেখা
0.0,0.0,germination,অঙ্কুর
0.0,0.0,germinate,অঙ্কুরিত করা
0.0,0.0,blossoming,অঙ্কুরোদ্গম
0.0,0.0,goad,অঙ্কুশ
0.0,0.125,amputation,অঙ্গচ্ছেদ
0.0,0.0,amputate,অঙ্গচ্ছেদ করা
0.0,0.0,deformation,অঙ্গবিকৃতি
0.0,0.0,deformed,অঙ্গবিহীন
0.0,0.0,gesture,অঙ্গভঙ্গি
0.0,0.0,cosmetology,অঙ্গরাগ
0.0,0.0,cosmetologist,অঙ্গরাগী
0.0,0.5,inseparably,অঙ্গাঙ্গিভাবে
0.0,0.0,cinder,অঙ্গার
0.0,0.0,carburetor,অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র
0.0,0.0,carburet,অঙ্গারক দ্বারা জ্বালান
0.0,0.0,bicarbonate,অঙ্গারজলবণবিশেষ
0.0,0.0,carbonaceous,অঙ্গারময়
0.0,0.0,carbonic,অঙ্গারসংবন্ধীয়
0.0,0.0,carbonate,অঙ্গারাম্লযুক্তদ্রব্য
0.0,0.0,carbonize,অঙ্গারে পরিণত করা
0.0,0.375,carbonization,অঙ্গারে পরিণতি
0.0,0.0,carboniferous,অঙ্গারোত্পাদক
0.0,0.0,fingerprint,অঙ্গুলাঙ্ক
0.0,0.125,fingerstall,অঙ্গুলিত্রাণ
0.0,0.0,fingering,অঙ্গুলিসঁচালন
0.375,0.0,exhibitionism,অঙ্গের অশোভনীয় অনাবৃত অবস্থা
0.0,0.0,demure,অচপল
0.0,0.75,immobile,অচল
0.0,0.0,deadlock,অচল অবস্থা
0.0,0.0,backwater,অচলতা
0.0,0.0,deadlocked,অচলাবস্থা
0.0,0.0,improvisation,অচিন্তিত রচনা
0.0,0.625,extemporary,অচিন্তিতপূর্ব
0.125,0.0,by_and_by,অচিরে
0.0,0.5,insensible,অচেতন
0.125,0.5,insentient,অচৈতন্য
0.0,0.0,crystalline,অচ্ছ
0.0,0.0,indissoluble,অচ্ছেদ্য
0.0,0.0,cornea,অচ্ছোদপটল
0.0,0.0,depositary,অছি
0.0,0.0,instrumentality,অছিলা
0.0,0.0,boa,অজগর
0.625,0.0,immateriality,অজড়ত্ব
0.0,0.0,ewe,অজা
0.125,0.0,incest,অজাচার
0.375,0.375,incestuous,অজাচারী
0.0,0.0,callow,অজাতপক্ষ
0.0,0.0,beardless,অজাতশ্মশ্রু
0.5,0.0,abiogenesis,অজীবজনি
0.0,0.5,inexpugnable,অজেয়
0.0,0.125,inorganic,অজৈব
0.5,0.0,ignorant,অজ্ঞ
0.5,0.0,ignorance,অজ্ঞতা
0.0,0.0,agnostic,অজ্ঞানবাদী
0.0,0.0,agnosticism,অজ্ঞাবাদ
0.125,0.0,incognizable,অজ্ঞেয়
0.375,0.0,agnostical,অজ্ঞেয়বাদ
0.0,0.5,autism,অটিজম
0.0,0.0,auto-mechanic,অটো মেকানিক
0.0,0.0,autoimmune,অটোইমিউন
0.0,0.0,autoclave,অটোক্লেভ
0.0,0.0,autofocus,অটোফোকাস
0.0,0.0,atomization,অটোমেশন
0.0,0.0,automobile_industry,অটোমোবাইল শিল্প
0.0,0.0,guffaw,অট্টহাস্য
0.0,0.0,chateau,অট্টালিকা
0.0,0.0,frontage,অট্টালিকার সদর
0.875,0.125,facade,অট্টালিকার সদরের বহির্ভাগ
0.0,0.0,audio,অডিও
0.0,0.0,audiotape,অডিও টেপ
0.0,0.0,audio_system,অডিও সিস্টেম
0.375,0.0,incubation,অণ্ডস্ফুটন
0.0,0.0,incubator,অণ্ডস্ফুটন যন্ত্র
0.0,0.0,egg-shaped,অণ্ডাকৃতি
0.0,0.0,hence,অত: পর
0.0,0.0,hereinafter,অত: পর ইহাতে
0.0,0.0,hereinbefore,অত: পূর্ব
0.0,0.0,consequently,অতএব
0.25,0.0,attentive,অতন্দ্র
0.25,0.25,abysmal,অতল
0.0,0.0,abysm,অতল গহ্বর
0.0,0.0,improperly,অতি
0.25,0.0,hidrosis,অতি কুত্সিত
0.0,0.0,brooklet,অতি ক্ষুদ্র নদী
0.0,0.0,at_arm's_length,অতি নিকটে
0.375,0.0,flinty,অতি নির্মম
0.0,0.0,he-man,অতি পৌ
0.125,0.0,highbrow,অতি বিদ্বান
0.0,0.0,high-strung,অতি ভাবপ্রবণ
0.0,0.0,bluestocking,অতি শিক্ষিতা নারী
0.0,0.0,crossing_over,অতিক্রম করা
0.0,0.0,conquering,অতিক্রমকারী
0.0,0.0,crossed,অতিক্রান্ত
0.0,0.0,guest,অতিথি
0.0,0.0,guestroom,অতিথি কক্ষ
0.0,0.0,guesthouse,অতিথিশালা
0.5,0.0,hospitable,অতিথিসেবাপরায়ণ
0.0,0.0,hostess,অতিথিসেবিকা
0.125,0.5,eerie,অতিপ্রাকৃত
0.0,0.0,hypotenuse,অতিভুজ
0.0,0.0,gluttony,অতিভোজন
0.375,0.0,gormandize,অতিভোজন করা
0.125,0.0,decompound,অতিযৌগিক
0.0,0.0,aggrandize,অতিরঁজিত করা
0.0,0.0,exterritorial,অতিরাষ্ট্রি
0.375,0.0,accessorial,অতিরিক্ত
0.0,0.0,effervescence,অতিরিক্ত উত্তেজনা
0.0,0.0,cover_charge,অতিরিক্ত চার্জ
0.0,0.0,extra_large,অতিরিক্ত বড়
0.0,0.0,fuss-budget,অতিরিক্ত মনোযোগ বাজেটের
0.0,0.0,caruncle,অতিরিক্ত মাংসপিণ্ড
0.0,0.0,flamboyant,অতিরিক্ত রঁঁঁঁজিত
0.0,0.0,extra_time,অতিরিক্ত সময়
0.5,0.5,awfully,অতিশয়
0.125,0.375,contumelious,অতিশয় উদ্ধত
0.375,0.25,hanker,অতিশয় লালয়িত হত্তয়া
0.375,0.25,hyperbole,অতিশয়োক্তি
0.5,0.25,gullible,অতিসরল
0.0,0.0,diarrhea,অতিসার
0.0,0.0,bygone,অতীত
0.0,0.0,anteriorly,অতীতে
0.125,0.0,go_past,অতীতে যাও
0.0,0.0,extrasensory,অতীন্দ্রিয়
0.0,0.0,extrasensory_perception,অতীন্দ্রিয় উপলব্ধি
0.0,0.0,exceedingly,অতীব
0.25,0.5,inimitable,অতুলন
0.25,0.375,insatiable,অতৃপ্ত
0.0,0.0,confoundedly,অত্যধিক
0.0,0.5,hypersensitive,অত্যধিক সংবেদনশীল
0.0,0.0,dipsomania,অত্যধিক সুরাসক্তি
0.0,0.0,hilarious,অত্যধিক হাসিখুশি
0.0,0.0,ever_so,অত্যন্ত
0.125,0.375,highly_strung,অত্যন্ত অভিমানী
0.25,0.625,immoderation,অত্যন্ত আধিক্য
0.375,0.0,highly-developed,অত্যন্ত উন্নত
0.375,0.0,crucial,অত্যন্ত গুরুত্বপূর্ণ
0.0,0.0,frosty,অত্যন্ত ঠাণ্ডা
0.0,0.0,exigency,অত্যন্ত দু: খ
0.0,0.0,demosthenic,অত্যন্ত বাগ্মিতাপূর্ণ
0.375,0.0,highly-sexed,অত্যন্ত বিশেষ যৌন স্বভাব
0.25,0.0,gracefully,অত্যন্ত শৃঙ্খলার
0.125,0.375,highly_sensitive,অত্যন্ত সংবেদনশীল
0.375,0.25,exquisitely,অত্যন্ত সুন্দরভাবে
0.0,0.0,hypercritical,অত্যন্ত সূক্ষ্ম সমালোচনাকর বা ছিদ্রান্বেষী
0.0,0.125,featherweight,অত্যন্ত হালকা
0.125,0.625,exiguous,অত্যল্প
0.0,0.625,brutalise,অত্যাচার করেছে
0.0,0.0,depressor,অত্যাচারকারী
0.125,0.0,extortionate,অত্যাচারী
0.75,0.125,exigent,অত্যাবশ্যক
0.0,0.0,exaggeration,অত্যুক্তি
0.0,0.0,indignant,অত্যুগ্র
0.0,0.0,alpine,অত্যুচ্চ
0.0,0.0,aerie,অত্যুচ্চ স্থানে নির্মিত শিকারি পাখির বাসা
0.0,0.0,ebullient,অত্যুত্সাহী
0.0,0.0,athos,অথস
0.0,0.0,atheroma,অথেরোমা
0.0,0.0,atherosclerosis,অথেরোস্ক্লেরোসিস
0.0,0.5,inefficient,অদক্ষ
0.0,0.125,dauber,অদক্ষ চিত্রকর
0.0,0.5,inefficiency,অদক্ষতা
0.0,0.125,indomitable,অদম্য
0.0,0.0,adar,অদর
0.5,0.0,dispensable,অদরকারী
0.0,0.0,invisibility,অদর্শন
0.0,0.0,interchange,অদলবদল
0.125,0.0,interchangeably,অদলবদল করে
0.25,0.0,incombustible,অদহনীয়
0.0,0.875,fireproof,অদাহ্য
0.25,0.375,aditi,অদিতি
0.375,0.0,imprudence,অদূরদর্শিতা
0.25,0.375,indiscreet,অদূরদর্শী
0.0,0.0,disappear,অদৃশ্য
0.125,0.0,disperse,অদৃশ্য করা
0.0,0.0,disa,অদৃশ্য হওয়া
0.0,0.0,evanescence,অদৃশ্যতা
0.0,0.0,kismet,অদৃষ্ট
0.0,0.0,fatalism,অদৃষ্টবাদ
0.0,0.0,fatalist,অদৃষ্টবাদী
0.0,0.0,curious,অদ্ভুত
0.0,0.0,curlicue,অদ্ভুত বাঁক
0.0,0.0,geezer,অদ্ভুত বুড়ো লোক
0.0,0.0,codger,অদ্ভুত লোক
0.0,0.25,flakiness,অদ্ভুত স্থিতি
0.0,0.0,antic,অদ্ভুতদর্শন
0.0,0.0,contraption,অদ্ভুতদর্শন কল
0.0,0.0,curiously,অদ্ভুতভাবে
0.0,0.0,eccentric,অদ্ভুতস্বভাব
0.0,0.0,absurdly,অদ্ভূত
0.0,0.625,extant,অদ্যাপি বর্তমান
0.375,0.25,insolubility,অদ্রবণীয়তা
0.0,0.0,amicability,অদ্রোহ
0.0,0.25,defervescence,অধ: পতন
0.0,0.0,degrade,অধ: পতন করা
0.0,0.0,degressive,অধ: পতনশীল
0.0,0.0,decadent,অধ: পতিত
0.0,0.0,decadency,অধ: পতিত অবস্থা
0.0,0.0,fall_down,অধ: পতিত হত্তয়া
0.0,0.125,debased,অধঃপতিত
0.0,0.0,beggarly,অধম
0.0,0.0,borrower,অধমর্ণ
0.0,0.625,elusive,অধরা
0.0,0.625,intangible_asset,অধরা সম্পদ
0.0,0.0,hypodermis,অধস্তক্
0.0,0.0,hypodermic,অধস্তক্সংক্রান্ত
0.0,0.0,iliac,অধস্তন অস্থিসম্বন্ধীয়
0.0,0.0,hypoderma,অধস্ত্বক
0.0,0.0,hypodermal,অধস্ত্বকসংক্রান্ত
0.5,0.0,godless,অধার্মিক
0.125,0.25,impiety,অধার্মিকতা
0.0,0.0,farther,অধিকতর
0.0,0.0,buy_up,অধিকাংশ অংশ কিনিয়া লত্তয়া
0.0,0.0,commandeer,অধিকার করা
0.0,0.0,acquirer,অধিকারির
0.0,0.0,entitled,অধিকারী
0.0,0.125,assumed,অধিকৃত
0.0,0.0,jurisdiction,অধিক্ষেত্র
0.625,0.0,acquirable,অধিগম্য
0.0,0.125,complemental,অধিগ্রাহ্য
0.0,0.0,exoderm,অধিত্বক্
0.375,0.0,captain,অধিনায়ক
0.375,0.0,captaincy,অধিনায়কত্ব
0.0,0.0,consular,অধিনায়কীয়
0.0,0.0,denizen,অধিবাসী
0.0,0.0,citizenry,অধিবাসীরা
0.0,0.0,derequisition,অধিযাচন প্রত্যাহার
0.0,0.0,dweller,অধিষ্ঠাতা
0.0,0.0,inherence,অধিষ্ঠান
0.375,0.25,atavism,অধিসঁচার
0.25,0.0,dominated,অধীন
0.0,0.625,alarmed,অধীর
